192.168.0.121 - - [29/Jan/2015:12:36:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:36:54 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:36:54 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:09 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:09 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:11 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:11 +0800] "GET /videotest/VideoTest.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:12 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:14 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:14 +0800] "GET /videotest/VideoTest2.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:15 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:20 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:20 +0800] "GET /videotest/VideoTest3.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:21 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:23 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:23 +0800] "GET /videotest/VideoTest4.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:24 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:26 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:27 +0800] "GET /videotest/VideoTest5.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:27 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:32 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:32 +0800] "GET /videotest/VideoTest6.jsp HTTP/1.1" 200 7084
192.168.0.121 - - [29/Jan/2015:12:37:33 +0800] "GET /videotest/DemoWebSocket HTTP/1.1" 101 -
192.168.0.121 - - [29/Jan/2015:12:37:36 +0800] "GET /videotest/VideoTest0.jsp HTTP/1.1" 200 272
192.168.0.121 - - [29/Jan/2015:12:37:36 +0800] "GET /videotest/VideoTest7.jsp HTTP/1.1" 200 7084
